x,y
0.0,245.0
0.0,246.0
0.0,247.0
0.0,250.0
0.0,251.0
0.0,252.0
0.0,253.0
0.0,262.0
0.0,264.0
0.0,266.0
0.0,267.0
0.0,271.0
0.0,276.0
0.0,277.0
0.0,279.0
0.0,284.0
0.0,286.0
0.0,288.0
0.0,292.0
0.0,293.0
0.0,294.0
0.0,297.0
0.0,301.0
0.0,302.0
0.0,303.0
0.0,311.0
0.0,314.0
0.0,315.0
0.0,320.0
0.0,323.0
0.0,340.0
0.0,387.0
62.0,344.0
77.0,360.0
83.0,410.0
142.0,455.0
184.0,397.0
148.0,349.0
176.0,317.0
155.0,257.0
111.0,244.0
94.0,221.0
93.0,197.0
64.0,191.0
0.0,189.0
0.0,191.0
0.0,201.0
0.0,203.0
0.0,205.0
0.0,209.0
0.0,215.0
0.0,220.0
0.0,221.0
0.0,224.0
0.0,225.0
0.0,226.0
0.0,229.0
0.0,232.0
0.0,234.0
0.0,237.0
0.0,238.0
0.0,240.0
0.0,242.0
0.0,245.0
