x,y
22793.0,0.0
22436.0,0.0
19917.0,5.0
19689.0,9.0
22942.0,14.0
23371.0,15.0
26252.0,16.0
28587.0,10.0
29657.0,8.0
32100.0,5.0
33419.0,3.0
37430.0,2.0
40333.0,0.0
39286.0,0.0
38987.0,0.0
38771.0,0.0
37626.0,0.0
36897.0,0.0
36710.0,0.0
36640.0,0.0
36442.0,0.0
36271.0,0.0
35551.0,0.0
35430.0,0.0
35262.0,0.0
35195.0,0.0
35120.0,0.0
34627.0,0.0
34393.0,0.0
34354.0,0.0
33843.0,0.0
33653.0,0.0
33650.0,0.0
33571.0,0.0
33362.0,0.0
33257.0,0.0
33216.0,0.0
33185.0,0.0
33028.0,0.0
32908.0,0.0
32480.0,0.0
31929.0,0.0
31847.0,0.0
31657.0,0.0
31334.0,0.0
31319.0,0.0
31288.0,0.0
30777.0,0.0
30751.0,0.0
30644.0,0.0
30502.0,0.0
30475.0,0.0
30385.0,0.0
30175.0,0.0
29699.0,0.0
29478.0,0.0
29474.0,0.0
29460.0,0.0
29448.0,0.0
29343.0,0.0
29003.0,0.0
28936.0,0.0
28914.0,0.0
28913.0,0.0
28413.0,0.0
28330.0,0.0
28324.0,0.0
28174.0,0.0
28158.0,0.0
28089.0,0.0
28060.0,0.0
28053.0,0.0
28018.0,0.0
27977.0,0.0
27863.0,0.0
27855.0,0.0
27808.0,0.0
27578.0,0.0
27539.0,0.0
27215.0,0.0
27059.0,0.0
27046.0,0.0
26913.0,0.0
26880.0,0.0
26274.0,0.0
26125.0,0.0
25903.0,0.0
25582.0,0.0
25469.0,0.0
25158.0,0.0
25146.0,0.0
24681.0,0.0
24326.0,0.0
24174.0,0.0
24151.0,0.0
23068.0,0.0
22993.0,0.0
22793.0,0.0
