x,y
0.0,684238.0
0.0,685298.0
0.0,685525.0
0.0,685556.0
0.0,685954.0
0.0,686328.0
0.0,686368.0
0.0,686382.0
0.0,686756.0
0.0,687112.0
0.0,687220.0
0.0,687322.0
0.0,687673.0
0.0,687934.0
0.0,688281.0
0.0,688293.0
0.0,688337.0
0.0,688754.0
0.0,689013.0
0.0,689924.0
0.0,690035.0
0.0,690104.0
0.0,690223.0
0.0,690604.0
0.0,691020.0
0.0,691068.0
0.0,691769.0
0.0,691874.0
0.0,692530.0
0.0,692623.0
0.0,692713.0
0.0,692880.0
0.0,693603.0
0.0,694065.0
0.0,694757.0
0.0,694912.0
0.0,695473.0
0.0,695832.0
0.0,696573.0
0.0,696702.0
0.0,697259.0
0.0,697332.0
0.0,697906.0
0.0,697987.0
0.0,698011.0
0.0,698554.0
0.0,699142.0
0.0,700306.0
0.0,701307.0
0.0,702486.0
0.0,703381.0
0.0,703564.0
0.0,703685.0
0.0,704438.0
0.0,704669.0
0.0,705983.0
0.0,706053.0
0.0,711103.0
0.0,711563.0
0.0,717194.0
9.0,710758.0
10.0,704857.0
9.0,703049.0
12.0,701698.0
11.0,698472.0
16.0,695978.0
15.0,695066.0
16.0,691657.0
11.0,690179.0
12.0,688731.0
8.0,686619.0
10.0,685330.0
11.0,684065.0
12.0,683025.0
12.0,681808.0
14.0,678317.0
10.0,675568.0
7.0,673526.0
0.0,670408.0
0.0,671929.0
0.0,676384.0
0.0,676977.0
0.0,677346.0
0.0,677732.0
0.0,677749.0
0.0,678792.0
0.0,678987.0
0.0,679792.0
0.0,680640.0
0.0,680772.0
0.0,681689.0
0.0,683030.0
0.0,683045.0
0.0,683529.0
0.0,683535.0
0.0,683596.0
0.0,684062.0
0.0,684238.0
