x,y
138582.0,0.0
135992.0,0.0
134679.0,0.0
132740.0,0.0
132500.0,0.0
131650.0,0.0
131612.0,0.0
130613.0,0.0
130065.0,0.0
129940.0,0.0
129656.0,0.0
129261.0,0.0
129134.0,0.0
128107.0,0.0
128105.0,0.0
126668.0,0.0
126239.0,0.0
124727.0,0.0
124190.0,0.0
119697.0,0.0
118884.0,0.0
118106.0,0.0
117905.0,0.0
116657.0,0.0
116588.0,0.0
116210.0,0.0
116068.0,0.0
113224.0,0.0
111474.0,0.0
111338.0,0.0
110967.0,0.0
109009.0,0.0
108929.0,0.0
108680.0,0.0
108408.0,0.0
108349.0,0.0
107921.0,0.0
107857.0,0.0
107736.0,0.0
106678.0,0.0
106571.0,0.0
106554.0,0.0
105941.0,0.0
105923.0,0.0
104675.0,0.0
104446.0,0.0
104343.0,0.0
104238.0,0.0
104063.0,0.0
104013.0,0.0
103686.0,0.0
103202.0,0.0
102393.0,0.0
102276.0,0.0
101312.0,0.0
101154.0,0.0
101110.0,0.0
100674.0,0.0
99959.0,0.0
99601.0,0.0
99265.0,0.0
99202.0,0.0
97189.0,0.0
95412.0,0.0
95392.0,0.0
94986.0,0.0
90690.0,0.0
90314.0,0.0
87420.0,0.0
86161.0,0.0
79413.0,5.0
79422.0,9.0
87181.0,11.0
93362.0,14.0
95247.0,15.0
100696.0,16.0
114071.0,10.0
123759.0,10.0
141112.0,3.0
151927.0,2.0
160856.0,0.0
160473.0,0.0
155867.0,0.0
152808.0,0.0
151601.0,0.0
150750.0,0.0
148544.0,0.0
148133.0,0.0
147927.0,0.0
147753.0,0.0
147557.0,0.0
145863.0,0.0
142880.0,0.0
142506.0,0.0
140430.0,0.0
139980.0,0.0
139805.0,0.0
139101.0,0.0
138582.0,0.0
